subjID,exptPart,trialNumber,roleCurrent,marblesSampled,asymm,probBullshitterRed,probBullshitDetectorRed,probGlobal,drawnRed,reportedDrawn,compLie,compUnifLie,compDetect,callBS,playerTrialScore,oppTrialScore,playerTotalScore,oppTotalScore,waitTime,responseTime,catchQuestion,catchKey,catchResponse,catchResponseTime,pseudoRound,trialTime
sona-24306,practice,1,bullshitter,10,False,0.8,0.8,0.8,8,8,-1,False,0.5,False,8,2,8,2,2785.79554678059,18853,What was the proportion of red to blue marbles from your opponent's perspective?,80,89,10593,False,53995
sona-24306,practice,2,bullshitDetector,10,False,0.8,0.8,0.8,8,8,8,False,-1,False,2,8,10,10,7375.825987069112,15956,How many red marbles did your opponent report drawing?,8,8,4193,False,34462
sona-24306,practice,3,bullshitter,10,True,0.8,0.5,0.78125,5,4,-1,False,0.25390625,False,4,6,14,16,2390.264243918273,13511,What was the proportion of red to blue marbles from your perspective?,78.125,50,7352,False,40675
sona-24306,practice,4,bullshitDetector,10,True,0.8,0.5,0.78125,5,5,4,False,-1,True,0,5,14,21,5162.149019585797,21004,How many red marbles did your opponent report drawing?,5,4,4048,False,39094
sona-24306,trial,1,bullshitter,10,False,0.2,0.2,0.2,2,6,-1,False,0.8213361152000003,True,-5,5,-5,5,2750.539060527274,2621,How many red marbles did your opponent report drawing?,-1,-1,-1,False,10426
sona-24306,trial,2,bullshitDetector,10,True,0.8,0.5,0.78125,8,8,7,False,-1,False,2,8,-3,13,6554.847612147287,3881,How many red marbles did your opponent report drawing?,-1,-1,-1,False,12576
sona-24306,trial,3,bullshitter,10,False,0.8,0.8,0.8,8,8,-1,False,0.5,False,8,2,5,15,2711.797730701159,4149,How many red marbles did your opponent report drawing?,-1,-1,-1,True,11584
sona-24306,trial,4,bullshitDetector,10,False,0.2,0.2,0.2,6,6,2,False,-1,True,-1,6,4,21,5779.253844416879,6318,What was the proportion of red to blue marbles from your perspective?,20,45,3018,False,17481
sona-24306,trial,5,bullshitter,10,True,0.5,0.8,0.51875,7,8,-1,False,0.5,True,-5,5,-1,26,2105.09815913733,11005,What was the proportion of red to blue marbles from your perspective?,-1,-1,-1,False,21101
sona-24306,trial,6,bullshitDetector,10,True,0.5,0.8,0.51875,6,9,9,False,-1,False,1,9,0,35,6918.240720546594,2365,What was the proportion of red to blue marbles from your perspective?,-1,-1,-1,False,11473
sona-24306,trial,7,bullshitter,10,True,0.5,0.8,0.51875,5,5,-1,False,-0.091396864,False,5,5,5,40,2581.2214390302306,3922,What was the proportion of red to blue marbles from your perspective?,-1,-1,-1,False,13207
sona-24306,trial,8,bullshitDetector,10,True,0.8,0.5,0.78125,10,7,-1,False,-0.091396864,False,3,7,8,47,5328.730386427391,9397,What was the proportion of red to blue marbles from your perspective?,-1,-1,-1,True,20365
sona-24306,trial,9,bullshitter,10,False,0.5,0.5,0.5,5,5,-1,False,0.5,True,5,0,13,47,3055.446251320041,3359,What was the proportion of red to blue marbles from your perspective?,-1,-1,-1,False,10350
sona-24306,trial,10,bullshitDetector,10,True,0.2,0.8,0.2375,3,5,-1,True,0.5,True,5,-5,18,42,6453.972993312895,2885,What was the proportion of red to blue marbles from your perspective?,-1,-1,-1,False,12335
sona-24306,trial,11,bullshitter,10,True,0.2,0.5,0.21875,1,2,-1,False,-0.068359375,False,2,8,20,50,2236.860341924657,8971,What was the proportion of red to blue marbles from your perspective?,-1,-1,-1,False,16143
sona-24306,trial,12,bullshitDetector,10,False,0.8,0.8,0.8,8,1,-1,False,-0.068359375,False,9,1,29,51,6701.721405522601,1472,How many red marbles did your opponent report drawing?,1,1,4829,True,15905
sona-24306,trial,13,bullshitter,10,False,0.8,0.8,0.8,8,1,-1,False,-0.12418616319999996,False,1,9,30,60,2394.024911667755,5627,How many red marbles did your opponent report drawing?,-1,-1,-1,False,14384
sona-24306,trial,14,bullshitDetector,10,True,0.2,0.5,0.21875,2,3,3,False,-1,False,7,3,37,63,7114.3416368373455,11671,How many red marbles did your opponent report drawing?,-1,-1,-1,False,20394
sona-24306,trial,15,bullshitter,10,True,0.8,0.5,0.78125,2,6,-1,False,0.705078125,False,6,4,43,67,3097.473936367585,7568,How many red marbles did your opponent report drawing?,-1,-1,-1,True,16405
sona-24306,trial,16,bullshitDetector,10,True,0.2,0.5,0.21875,1,2,2,False,-1,True,5,-5,48,62,5973.46905691806,42796,How many red marbles did your opponent report drawing?,-1,-1,-1,False,50621
sona-24306,trial,17,bullshitter,10,False,0.2,0.2,0.2,3,2,-1,False,0.5,False,2,8,50,70,2951.410461199178,3528,How many red marbles did your opponent report drawing?,-1,-1,-1,False,12080
sona-24306,trial,18,bullshitDetector,10,True,0.2,0.5,0.21875,3,6,6,False,-1,False,4,6,54,76,6171.614545291975,176376,What was the proportion of red to blue marbles from your perspective?,50,60,5400,False,192527
